gz_id,label,start,end_,partido_generico,provincia_generica,region,iglesia_cat,servido_por,categoria,categoria_especial,cabildo,parcialidad,es_parte_de,lat,lon,cert,metodo,curato_generico,pais,nombre,variantes,nombrehoy,santo,start_ex,end_ex,fuente_ID,importancia
1002731,Luvina,1111,9999,Teococuilco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.5038889997,-96.5486110001,Buena,Geoservice/Satelite,None,MEX,San Juan Bautista Luvina,None,None,San Juan Bautista,start,end,tanck,7
1002732,Macuiltianguis,1111,9999,Teococuilco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.5344440004,-96.5533330002,Buena,Geoservice/Satelite,None,MEX,San Pablo Macuiltianguis,None,None,San Pablo,start,end,tanck,7
1002733,Piedras,1111,9999,Teozacualco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.991667,-97.2272219998,Buena,Geoservice/Satelite,None,MEX,San Miguel Piedras,None,None,San Miguel,start,end,tanck,7
1002734,Rosario,1111,9999,Teococuilco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.5936110003,-96.5502779996,Buena,Geoservice/Satelite,None,MEX,Rosario (Temextitlan),Temextitlan,None,None,start,end,tanck,7
1002735,San Francisco de las Llagas,1111,9999,Teococuilco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.6391670004,-96.5697219997,Buena,Geoservice/Satelite,None,MEX,San Francisco de las Llagas,None,None,None,start,end,tanck,7
1002736,San Jacinto,1111,9999,Teozacualco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.5194440004,-97.3861110002,Buena,Geoservice/Satelite,None,MEX,San Jacinto (Tlacotepec),Tlacotepec,None,None,start,end,tanck,7
1002737,San Lorenzo,1111,9999,Teozacualco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.5833329996,-97.2016670003,Buena,Geoservice/Satelite,None,MEX,San Lorenzo (Texmelucan),Texmelucan,None,None,start,end,tanck,7
1002738,Santa Maria de las Nieves,1111,9999,Teococuilco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.6258329997,-96.5616669996,Buena,Geoservice/Satelite,None,MEX,Santa Maria de las Nieves,None,None,None,start,end,tanck,7
1002739,Santiago El Menor,1111,9999,Teozacualco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.664722,-97.2569439999,Buena,Geoservice/Satelite,None,MEX,Santiago El Menor (Sochiltepec),Sochiltepec,None,None,start,end,tanck,7
1002740,Sindihui,1111,9999,Teozacualco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.001944,-97.3513889998,Buena,Geoservice/Satelite,None,MEX,San Mateo Sindihui,None,None,San Mateo,start,end,tanck,7
